,Sample ID,Country,State,Latitude,Longitude,Analysis Method,CollDate,LandCover1,LandCover2,Soil/Rock Type,Depth (cm),Ag (mg/kg),Al (mg/kg),As (mg/kg),Ba (mg/kg),Be (mg/kg),Ca (mg/kg),Cd (mg/kg),Ce (mg/kg),Co (mg/kg),Cr (mg/kg),Cs(mg/kg),Cu (mg/kg),Fe (mg/kg),Ga (mg/kg),Hg (mg/kg),In (mg/kg),K (mg/kg),La (mg/kg),Li (mg/kg),Mg (mg/kg),Mn (mg/kg),Mo (mg/kg),Na (mg/kg),Nb (mg/kg),Ni (mg/kg),P (mg/kg),Pb (mg/kg),Rb (mg/kg),S (mg/kg),Sb (mg/kg),Sc (mg/kg) ,Se (mg/kg),Sn (mg/kg),Sr (mg/kg),Te (mg/kg),Th (mg/kg),Ti (mg/kg),Tl (mg/kg),U (mg/kg),V (mg/kg),W (mg/kg),Y (mg/kg),Zn (mg/kg),NOTES,LINK TO SOURCE
0,,,,,,,,,,,,,,,,,,,,,,,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,
1,C-328818,US,AL,31.3146,-87.1166,ICP-MS,02/18/09,Planted/Cultivated,Pasture/Hay,,0-5,,0.79,2.1,45.0,0.2,0.1,0.1,23.8,1.4,8.0,5.0,5.9,0.52,2.29,0.01,0.02,0.08,10.3,11,0.03,92.0,0.39,0.01,5.3,3.3,200,6.8,11.7,0.01,0.19,1.5,0.2,0.5,6,0.1,3.6,0.23,0.1,1.1,13.0,0.2,4.2,15.0,,link
2,C-328805,US,AL,31.2179,-85.8788,ICP-MS,02/18/09,Planted/Cultivated,Fallow,,0-5,,0.85,1.8,32.0,0.1,0.06,0.1,36.9,1.2,9.0,5.0,10.1,0.31,1.81,0.01,0.02,0.04,20.5,4,0.03,221.0,0.35,0.01,3.5,4.1,390,6.8,4.8,0.01,0.15,1.2,0.2,0.4,3.8,0.1,2.3,0.11,0.1,0.8,10.0,0.3,15.2,18.0,,link
3,C-328793,US,AL,31.0634,-85.6928,ICP-MS,02/19/09,Planted/Cultivated,Fallow,,0-5,,2.26,3.6,55.0,0.3,0.05,0.1,57,2.5,25.0,5.0,24.5,0.91,6.12,0.03,0.02,0.11,23.7,10,0.05,180.0,0.97,0.01,9.5,9.9,680,11.4,11,0.01,0.55,3.2,0.2,1.4,7.3,0.1,7,0.32,0.1,1.8,29.0,0.8,11.5,29.0,,link
4,C-328811,US,AL,32.1407,-85.5465,ICP-MS,02/19/09,Planted/Cultivated,Fallow,,0-5,,0.89,2.6,45.0,0.2,0.01,0.1,94.8,0.8,12.0,5.0,2.2,0.56,2.64,0.02,0.02,0.11,45.4,6,0.03,76.0,0.51,0.01,2,3.1,250,7.0,10.9,0.01,0.13,1.5,0.2,0.3,6.3,0.1,17.9,0.29,0.1,2.9,15.0,0.1,8.2,12.0,,link
5,C-328992,US,AL,32.5952,-85.5658,ICP-MS,02/20/09,Planted/Cultivated,Pasture/Hay,,0-5,,1.43,1.9,92.0,0.4,0.52,0.1,55.2,2.0,12.0,5.0,5.2,0.66,5.05,0.04,0.02,0.17,27.7,7,0.26,269.0,0.41,0.01,6.7,3.7,630,12.4,17.1,0.02,0.2,1.9,0.2,1,15.5,0.1,10.4,0.17,0.1,1.6,16.0,0.4,6.2,18.0,,link
6,C-328990,US,AL,34.9852,-87.5194,ICP-MS,02/25/09,Planted/Cultivated,Pasture/Hay,,0-5,,3.02,6.1,276.0,1.1,0.05,0.1,76.4,13.1,48.0,5.0,11.8,1.92,9.1,0.04,0.03,0.68,29.3,20,0.12,899.0,1.33,0.12,12.5,10.6,510,21.1,53.7,0.02,0.69,4.6,0.5,1.3,35.2,0.1,9.5,0.39,0.4,2.9,50.0,1,14.1,50.0,,link
7,C-328870,US,AL,33.3123,-87.8587,ICP-MS,02/21/09,Planted/Cultivated,Pasture/Hay,,0-5,,0.92,1.5,132.0,0.4,0.07,0.1,36.3,3.7,7.0,5.0,4.3,0.5,3.06,0.02,0.02,0.27,16.8,7,0.04,127.0,0.27,0.02,5.2,4.0,170,7.2,20.9,0.01,0.17,1.5,0.2,0.6,18.4,0.1,4.5,0.23,0.1,1.1,13.0,0.2,5.8,18.0,,link
8,C-329055,US,AL,33.6629,-85.66,ICP-MS,02/24/09,Planted/Cultivated,Fallow,,0-5,,5.59,9.1,389.0,1.9,0.1,0.1,81.4,17.7,41.0,5.0,16.4,3,17.7,0.03,0.05,1.46,33.7,16,0.13,653.0,0.81,0.17,4.1,15.4,1080,31.8,102,0.02,0.39,9.2,0.5,1.6,41.5,0.1,12.4,0.13,0.4,2.9,53.0,0.3,8.8,64.0,,link
9,C-328865,US,AL,32.6467,-86.5986,ICP-MS,02/23/09,Planted/Cultivated,Pasture/Hay,,0-5,,0.96,1.4,92.0,0.4,0.01,0.1,64.6,2.3,14.0,5.0,4.3,0.43,2.97,0.02,0.02,0.13,31.5,6,0.04,375.0,0.3,0.01,4.6,3.8,220,7.4,13.9,0.01,0.17,1.5,0.2,0.7,7.8,0.1,9.7,0.17,0.1,1.6,13.0,0.3,11.8,13.0,,link
