,Sample ID,Country,State,Latitude,Longitude,Analysis Method,CollDate,LandCover1,LandCover2,Soil/Rock Type,Depth (cm),Ag (mg/kg),Al (mg/kg),As (mg/kg),Ba (mg/kg),Be (mg/kg),Ca (mg/kg),Cd (mg/kg),Ce (mg/kg),Co (mg/kg),Cr (mg/kg),Cs(mg/kg),Cu (mg/kg),Fe (mg/kg),Ga (mg/kg),Hg (mg/kg),In (mg/kg),K (mg/kg),La (mg/kg),Li (mg/kg),Mg (mg/kg),Mn (mg/kg),Mo (mg/kg),Na (mg/kg),Nb (mg/kg),Ni (mg/kg),P (mg/kg),Pb (mg/kg),Rb (mg/kg),S (mg/kg),Sb (mg/kg),Sc (mg/kg) ,Se (mg/kg),Sn (mg/kg),Sr (mg/kg),Te (mg/kg),Th (mg/kg),Ti (mg/kg),Tl (mg/kg),U (mg/kg),V (mg/kg),W (mg/kg),Y (mg/kg),Zn (mg/kg),NOTES,LINK TO SOURCE
0,s_2 [4742],HONSHU ARC / SOUTHWESTERN HONSHU ARC / TSUKUE ISLAND,,33,130,,,,,"PERIDOTITE, XENOLITH [4742]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,s_AVX-35 [9909] / s_AVX35 [6406],KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / AVACHA (AVACHINSKY),EASTERN VOLCANIC FRONT,53.256,158.836,,,,,"PERIDOTITE, XENOLITH [9909] / HARZBURGITE, SPINEL, XENOLITH [6406]",,,,,0.613,,,,0.029,,,,,,,,,,,,,,,,,2596.0,,,,,,7.35,,,0.853,,,65.2,,,55.4,,0.075,,,
2,s_104/KP-67 [17805],BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE,NORTH OF LAKE PAHKALAMPI,61,33,,,,,"PERIDOTITE, MICA [17805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,s_XN2 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,7.0,,,,1.1,,,,,,1.1,,,,0.5,,,,,,0.5,,,,0.5,,,,,,10.9,,,,,,51.0,,1,,,
4,s_XN4 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,12.0,,,,2,,,,,,2.3,,,,1.1,,,,,,1.3,,,,0.7,,,,,,33.4,,,,,,87.0,,1.8,,,
5,s_XN5 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,2.0,,,,0.2,,,,,,2.5,,,,0.2,,,,,,0.2,,,,0.3,,,,,,2.2,,,,,,81.0,,2.2,,,
6,s_XN6 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,6.0,,,,1.1,,,,,,1.4,,,,0.6,,,,,,0.7,,,,0.6,,,,,,11.7,,,,,,50.0,,1,,,
7,s_XN7 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,9.0,,,,0.5,,,,,,0.5,,,,0.3,,,,,,0.3,,,,0.3,,,,,,4,,,,,,30.0,,0.1,,,
8,s_XN8 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,6.0,,,,1.3,,,,,,0.7,,,,0.6,,,,,,0.7,,,,0.5,,,,,,12,,,,,,39.0,,0.5,,,
9,s_XN9 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,2.0,,,,0.6,,,,,,2.1,,,,0.4,,,,,,0.2,,,,0.4,,,,,,5.1,,,,,,77.0,,1.7,,,
