Metal,Threshold Level (mg/kg),Unit,Threshold for,Label,Agency,LINK TO SOURCE,NOTES,"Total, Aqua regia, extractable, or other (specify)",Any required analytical methods referred to in reg?,Notes
Ni,38.00,mg/kg,plants,"EPA, plants","EPA, 2007",link,,Aqua regia,"The studies used to derive the Eco-SSL concentration values adhered to any of these 3 methods from the US EPA: 3050B, 3051A, or 3052. An example of a study that used 3050B here: https://apps.dtic.mil/sti/tr/pdf/ADA422185.pdf. 3050B and 3051A are both ""very strong acid digestions"" whereas 3052 is a ""total digestion"" procedure. ",
Ni,42.50,mg/kg,soil,Germany,"Germany, 1992",link,,Aqua regia,"Aqua regia digest of soil ""DIN Standard 38:414, part 7, January 1983 edition""",
Ni,60.00,mg/kg,light soils - ag,"Czech Republic, agricultural light soils","JRC, EU, 2007 - Czech Republic","Carlon, 2007 link",,Aqua regia,Aqua regia extraction,"""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,80.00,mg/kg,other soils - ag,"Czech Republic, agricultural other soils","JRC, EU, 2007 - Czech Republic","Carlon, 2007 link",,Aqua regia,Aqua regia extraction,"""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,75.00,mg/kg,agricultural soils,"Lithuania, agricultural soils","JRC, EU, 2007 - Lithuania","Carlon, 2007 link",,Aqua regia,aqua regia assumed,"""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,40.00,mg/kg,"agricultural soils - sand, loamy sand","Slovakia, agricultural soils, sand","JRC, EU, 2007 - Slovakia","Carlon, 2007 link",,Aqua regia,"Table 1a. Limit values for risk elements in agricultural soils according to ASP (2004) (in mg/kg dry weight, fine soil, aqua regia-decomposition, Hg total content)","""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,50.00,mg/kg,"agricultural soils - sandy-loam, loam","Slovakia, agricultural soils, loam","JRC, EU, 2007 - Slovakia","Carlon, 2007 link",,Aqua regia,"Table 1a. Limit values for risk elements in agricultural soils according to ASP (2004) (in mg/kg dry weight, fine soil, aqua regia-decomposition, Hg total content)","""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,60.00,mg/kg,"agricultural soils - clay-loam, clay","Slovakia, agricultural soils, clay","JRC, EU, 2007 - Slovakia","Carlon, 2007 link",,Aqua regia,"Table 1a. Limit values for risk elements in agricultural soils according to ASP (2004) (in mg/kg dry weight, fine soil, aqua regia-decomposition, Hg total content)","""Affiliated are the results of risk elements contents in soil in 2M nitric acid extract or aqua regia extract"""
Ni,100.00,mg/kg,ecological risks,"Finland, ecological risks","MEF, Finland, 2007",link Table 1,"""Lower Guideline Value""",Aqua regia,"(1) The median and range of the natural concentration of fines in moraine when defined by extraction with aqua regia, except pyrolytically defined mercury. It must be taken into account in site-specific analyses that especially in clay soils the natural concentrations may be clearly higher than those measured from moraine. (2) The guideline values for metals and semimetals defined on ecological grounds are derived by adding the average natural concentration of the mineral soil to the calculatory concentration describing the acceptable ecological risk of the substance. Correspondingly, the natural concentration of the soil in the area can be taken into account in site-specific analyses if it has been analysed with a reliable method.",Gov decree here: https://faolex.fao.org/docs/pdf/fin113198.pdf
Ni,150.00,mg/kg,health risks,"Finland, health risks","MEF, Finland, 2007",link Table 1,"""Higher Guideline Value""",Aqua regia,"(1) The median and range of the natural concentration of fines in moraine when defined by extraction with aqua regia, except pyrolytically defined mercury. It must be taken into account in site-specific analyses that especially in clay soils the natural concentrations may be clearly higher than those measured from moraine. (2) The guideline values for metals and semimetals defined on ecological grounds are derived by adding the average natural concentration of the mineral soil to the calculatory concentration describing the acceptable ecological risk of the substance. Correspondingly, the natural concentration of the soil in the area can be taken into account in site-specific analyses if it has been analysed with a reliable method.",Gov decree here: https://faolex.fao.org/docs/pdf/fin113198.pdf
